,ID,Language,Subscription_Type,Subscription_Event_Type,Purchase_Store,Purchase_Amount,Currency,USD_Price,Subscription_Start_Date,Subscription_Expiration,Demo_User,Free_Trial_User,Auto_Renew,Country,User_Type,Lead_Platform,Email_Subscriber,Push_Notifications,Send_Count,Open_Count,Click_Count,Unique_Open_Count,Unique_Click_Count
0,2,EBR,Limited,INITIAL_PURCHASE,Web,39,USD,39,11/28/19,2/28/20,No,No,Off,Other,Consumer,Web,No,Yes,4,3,0,1,0
1,3,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,12/31/18,12/31/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0
2,6,ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,38.34,8/23/19,11/23/19,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,162,1,0,1,0
3,7,ESP,Limited,RENEWAL,Web,79,USD,79,7/21/19,11/11/19,Yes,No,Off,Other,Consumer,App,Yes,Yes,2,0,0,0,0
4,8,DEU,Limited,INITIAL_PURCHASE,Web,38.4,USD,38.4,3/7/20,6/7/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,25,17,4,7,2
5,9,DEU,Limited,INITIAL_PURCHASE,Web,43.16,USD,43.16,3/3/20,6/8/20,No,Yes,On,Europe,Consumer,Web,No,Yes,52,11,0,5,0
6,12,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,35.97,10/17/19,1/21/20,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,94,0,0,0,0
7,13,GLE,Limited,RENEWAL,Web,10.83,GBP,13.6458,3/17/19,5/17/20,No,No,On,Europe,Consumer,Web,No,Yes,70,70,0,2,0
8,14,ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,143.76,3/25/20,3/25/22,No,No,On,US/Canada,Consumer,Web,Yes,Yes,174,37,6,28,2
9,17,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/25/20,1/1/99,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,8,6,3,2,1
10,18,SVE,Limited,INITIAL_PURCHASE,Web,79.5,GBP,100.17,5/1/19,11/15/20,No,No,On,Europe,Consumer,Web,Yes,Yes,2,1,0,1,0
11,22,ENG,Limited,INITIAL_PURCHASE,Web,39.5,USD,39.5,12/24/19,3/24/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,8,2,0,1,0
12,23,ESP,Lifetime,INITIAL_PURCHASE,Web,0,USD,0,3/26/19,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0
13,24,FRA,Limited,INITIAL_PURCHASE,Web,0,USD,0,2/2/19,2/2/20,No,No,Off,US/Canada,Consumer,Web,No,Yes,3,2,0,1,0
14,29,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,35.97,9/21/19,12/21/19,Yes,No,Off,Other,Consumer,Web,Yes,Yes,316,243,4,120,1
